name,phrase,numberOfWords
LUKE,But they're going to kill her,6
HAN,Better her than me,4
LUKE,She's rich,2
HAN,Rich,1
LUKE,Yes Rich powerful Listen if you were to rescue her the reward would be,14
HAN,What,1
LUKE,Well more wealth that you can imagine,7
HAN,I don't know I can imagine quite a bit,9
LUKE,You'll get it,3
HAN,I better,2
LUKE,You will,2
HAN,All right kid But you'd better be right about this,10
LUKE,All right,2
HAN,What's your plan,3
LUKE,Uh C3PO hand me those binders there will you,9
LUKE,Okay Now I'm going to put these on you,9
LUKE,Okay Han you put these on,6
HAN,Don't worry Chewie I think I know what he has in mind,12
C3PO,Master Luke sir Pardon me for asking but ah what should R2D2 and I do if we're discovered here,19
LUKE,Lock the door,3
HAN,And hope they don't have blasters,6
C3PO,That isn't very reassuring,4
LUKE,I can't see a thing in this helmet,8
HAN,This is not going to work,6
LUKE,Why didn't you say so before,6
HAN,I did say so before,5
OFFICER,Where are you taking this thing,6
LUKE,Prisoner transfer from Block one-one-three-eight,5
OFFICER,I wasn't notified I'll have to clear it,8
HAN,Look out He's loose,4
LUKE,He's going to pull us all apart,7
HAN,Go get him,3
HAN,We've got to find out which cell this princess of yours is in Here it is cell twenty-one-eight-seven You go get her I'll hold them here,26
HAN,Everything is under control Situation normal,6
INTERCOM VOICE,What happened,2
HAN,Uh had a slight weapons malfunction But uh everything's perfectly all right now We're fine We're all fine here now thank you How are you,25
INTERCOM VOICE,We're sending a squad up,5
HAN,Uh uh negative We had a reactor leak here now Give us a few minutes to lock it down Large leak very dangerous,23
INTERCOM VOICE,Who is this What's your operating number,7
HAN,Boring conversation anywayLuke We're going to have company,8
LEIA,Aren't you a little short to be a stormtrooper,9
LUKE,What Oh the uniform I'm Luke Skywalker I'm here to rescue you,12
LEIA,You're who,2
LUKE,I'm here to rescue you I've got your R2 unit I'm here with Ben Kenobi,15
LEIA,Ben Kenobi is here Where is he,7
LUKE,Come on,2
VADER,He is here,3
TARKIN,Obi-Wan Kenobi What makes you think so,7
VADER,A tremor in the Force The last time I felt it was in the presence of my old master,19
TARKIN,Surely he must be dead by now,7
VADER,Don't underestimate the power of the Force,7
TARKIN,The Jedi are extinct their fire has gone out of the universe You my friend are all that's left of their religion,22
TARKIN,Yes,1
INTERCOM VOICE,Governor Tarkin we have an emergency alert in detention block A A-twenty-three,12
TARKIN,The princess Put all sections on alert,7
VADER,Obi-Wan is here The Force is with him,8
TARKIN,If you're right he must not be allowed to escape,10
VADER,Escape is not his plan I must face him alone,10
HAN,Chewie,1
HAN,Get behind me Get behind me,6
HAN,Can't get out that way,5
LEIA,Looks like you managed to cut off our only escape route,11
HAN,Maybe you'd like it back in your cell Your Highness,10
LUKE,See-C3PO See-C3PO,2
C3PO,Yes sir,2
LUKE,We've been cut off Are there any other ways out of the cell bay What was that I didn't copy,20
C3PO,I said all systems have been alerted to your presence sir The main entrance seems to be the only way in or out; all other information on your level is restricted,31
TROOPER VOICE,Open up in there,4
C3PO,Oh no,2
LUKE,There isn't any other way out,6
HAN,I can't hold them off forever Now what,8
LEIA,This is some rescue When you came in here didn't you have a plan for getting out,17
HAN,He's the brains sweetheart,4
LUKE,Well I didn't,3
HAN,What the hell are you doing,6
LEIA,Somebody has to save our skins Into the garbage chute wise guy,12
HAN,Get in there you big furry oaf I don't care what you smell Get in there and don't worry about it,21
HAN,Wonderful girl Either I'm going to kill her or I'm beginning to like her Get in there,17
HAN,Oh The garbage chute was a really wonderful idea What an incredible smell you've discovered Let's get out of here Get away from there,24
LUKE,No wait,2
LUKE,Will you forget it I already tried it It's magnetically sealed,11
LEIA,Put that thing away You're going to get us all killed,11
HAN,Absolutely Your Worship Look I had everything under control until you led us down here You know it's not going to take them long to figure out what happened to us,31
LEIA,It could be worse,4
HAN,It's worse,2
LUKE,There's something alive in here,5
HAN,That's your imagination,3
LUKE,Something just moves past my leg Look Did you see that,11
HAN,What,1
LUKE,Help,1
HAN,Luke Luke Luke,3
LEIA,Luke,1
LEIA,Luke Luke grab a hold of this,7
LUKE,Blast it will you My gun's jammed,7
HAN,Where,1
LUKE,Anywhere Oh,2
HAN,Luke Luke,2
LEIA,Grab him,2
LEIA,What happened,2
LUKE,I don't know it just let go of me and disappeared,11
HAN,I've got a very bad feeling about this,8
LUKE,The walls are moving,4
LEIA,Don't just stand there Try to brace it with something,10
LUKE,Wait a minute,3
LUKE,C3PO Come in C3PO C3PO Where could he be,9
FIRST TROOPER,Take overSee to him Look there,6
C3PO,They're madmen They're heading for the prison level If you hurry you might catch them,15
FIRST OFFICER,Follow me You stand guard,5
C3PO,Come on,2
C3PO,Oh All this excitement has overrun the circuits of my counterpart here If you don't mind I'd like to take him down to maintenance,24
TROOPER,All right,2
LUKE,C3PO Come in C3PO C3PO,5
HAN,Get to the top,4
LEIA,I can't,2
LUKE,Where could he be C3PO C3PO will you come in,10
C3PO,They aren't here Something must have happened to them See if they've been captured,14
C3PO,Hurry,1
HAN,One thing's for sure We're all going to be a lot thinnerGet on top of it,16
LEIA,I'm trying,2
C3PO,Thank goodness they haven't found them Where could they be,10
C3PO,Use the comlink Oh my I forgot I turned it off,11
C3PO,Are you there sir,4
LUKE,C3PO,1
C3PO,We've had some problems,4
LUKE,Will you shut up and listen to me Shut down all garbage mashers on the detention level will you Do you copy,22
LUKE,Shut down all the garbage mashers on the detention level,10
LUKE,Shut down all the garbage mashers on the detention level,10
C3PO,No Shut them all down Hurry,6
C3PO,Listen to them They're dying R2D2 Curse my metal body I wasn't fast enough It's all my fault My poor master,21
LUKE,C3PO we're all right,4
LUKE,We're all right You did great,6
LUKE,Hey hey open the pressure maintenance hatch on unit number where are we,13
HAN,Three-two-six-eight-two-seven,1
HAN,If we can just avoid any more female advice we ought to be able to get out of here,19
LUKE,Well let's get moving,4
HAN,Where are you going,4
LEIA,No wait They'll hear,4
HAN,Come here you big coward,5
HAN,Chewie Come here,3
LEIA,Listen I don't know who you are or where you came from but from now on you do as I tell you Okay,23
HAN,Look Your Worshipfulness let's get one thing straight I take orders from one person Me,15
LEIA,It's a wonder you're still aliveWill somebody get this big walking carpet out of my way,16
HAN,No reward is worth this,5
OFFICER,Secure this area until the alert is canceled,8
FIRST TROOPER,Give me regular reports,4
FIRST TROOPER,Do you know what's going on,6
SECOND TROOPER,Maybe it's another drill,4
SECOND TROOPER,What was that,3
FIRST TROOPER,Oh it's nothing Don't worry about it,7
HAN,There she is,3
LUKE,See-C3PO do you copy,4
C3PO,For the moment Uh we're in the main hangar across from the ship,13
LUKE,We're right above you Stand by,6
LEIA,You came in that thing You're braver that I thought,10
HAN,Nice Come on,3
FIRST TROOPER,It's them Blast them,4
HAN,Get back to the ship,5
LUKE,Where are you going Come back,6
LEIA,He certainly has courage,4
LUKE,What good will it do us if he gets himself killed Come on,13
LUKE,I think we took a wrong turn,7
LEIA,There's no lock,3
LUKE,That oughta hold it for a while,7
LEIA,Quick we've got to get across Find the control that extends the bridge,13
LUKE,Oh I think I just blasted it,7
LEIA,They're coming through,3
LUKE,Here hold this,3
LEIA,Here they come,3
LEIA,For luck,2
C3PO,Where could they be,4
TROOPER,Close the blast doors,4
TROOPER,Open the blast doors Open the blast doors,8
VADER,I've been waiting for you Obi-Wan We meet again at last The circle is now complete,16
VADER,When I left you I was but the learner; now I am the master,14
BEN,Only a master of evil Darth,6
VADER,Your powers are weak old man,6
BEN,You can't win Darth If you strike me down I shall become more powerful than you can possibly imagine,19
HAN,Didn't we just leave this party,6
HAN,What kept you,3
LEIA,We ran into some old friends,6
LUKE,Is the ship all right,5
HAN,Seems okay if we can get to it Just hope the old man got the tractor beam out of commission,20
LUKE,Look,1
C3PO,Come on R2D2 we're going,5
HAN,Now's our chance Go,4
LUKE,No,1
HAN,Come on,2
LEIA,Come on Luke its too late,6
HAN,Blast the door Kid,4
BEN'S VOICE,Run Luke Run,3
HAN,I hope the old man got that tractor beam out if commission or this is going to be a real short trip Okay hit it,25
HAN,We're coming up on the sentry ships Hold 'em off Angle the deflector shields while I charge up the main guns,21
LUKE,I can't believe he's gone,5
LEIA,There wasn't anything you could have done,7
HAN,Come on buddy we're not out of this yet,9
HAN,You in kid Okay stay sharp,6
LEIA,Here they come,3
LUKE,They're coming in too fast,5
C3PO,Oooh,1
LEIA,We've lost lateral controls,4
HAN,Don't worry she'll hold together,5
HAN,You hear me baby Hold together,6
LUKE,Got him I got him,5
HAN,Great kid Don't get cocky,5
LEIA,There are still two more of them out there,9
LUKE,That's it We did it,5
LEIA,We did it,3
C3PO,Help I think I'm meltingThis is all your fault,9
TARKIN,Are they away,3
VADER,They have just made the jump into hyperspace,8
TARKIN,You're sure the homing beacon is secure aboard their ship I'm taking an awful risk Vader This had better work,20
HAN,Not a bad bit of rescuing huh You know sometimes I even amaze myself,14
LEIA,That doesn't sound too hard Besides they let us go It's the only explanation for the ease of our escape,20
HAN,Easy you call that easy,5
LEIA,Their tracking us,3
HAN,Not this ship sister,4
LEIA,At least the information in R2D2 is still intact,9
HAN,What's so important What's he carrying,6
LEIA,The technical readouts of that battle station I only hope that when the data is analyzed a weakness can be found It's not over yet,25
HAN,It is for me sister Look I ain't in this for your revolution and I'm not in it for you Princess I expect to be well paid I'm in it for the money,33
LEIA,You needn't worry about your reward If money is all that you love then that's what you'll receive,18
LEIA,Your friend is quite a mercenary I wonder if he really cares about anything or anyone,16
LUKE,I care,2
LUKE,So what do you think of her Han,8
HAN,I'm trying not to kid,5
LUKE,Good,1
HAN,Still she's got a lot of spirit I don't know what do you think Do you think a princess and a guy like me,24
LUKE,No,1
WILLARD,You're safe We had feared the worst,7
WILLARD,When we heard about Alderaan we were afraid that you were lost along with your father,16
LEIA,We don't have time for our sorrows Commander The battle station has surely tracked us hereIt's the only explanation for the ease of our escape You must use the information in this R2 unit to plan the attack It is our only hope,43
TARKIN,Yes,1
DODONNA,The battle station is heavily shielded and carries a firepower greater than half the star fleet It's defenses are designed around a direct large-scale assault A small one-man fighter should be able to penetrate the outer defense,37
GOLD LEADER,Pardon me for asking sir but what good are snub fighters going to be against that,16
DODONNA,Well the Empire doesn't consider a small one-man fighter to be any threat or they'd have a tighter defense An analysis of the plans provided by Princess Leia has demonstrated a weakness in the battle station,36
DODONNA,The approach will not be easy You are required to maneuver straight down this trench and skim the surface to this point The target area is only two meters wide It's a small thermal exhaust port right below the main port The shaft leads directly to the reactor system A precise hit will start a chain reaction which should destroy the station,62
DODONNA,Only a precise hit will set up a chain reaction The shaft is ray-shielded so you'll have to use proton torpedoes,21
WEDGE,That's impossible even for a computer,6
LUKE,It's not impossible I used to bull's-eye womp rats in my T-sixteen back home They're not much bigger than two meters,21
DODONNA,Man your ships And may the Force be with you,10
VADER,This will be a day long remembered It has seen the end of Kenobi and it will soon see the end of the Rebellion,24
MAN'S VOICE,All flight trooper man your stations All flight troops man your stations,12
LUKE,So you got your reward and you're just leaving then,10
HAN,That's right yeah I got some old debts I've got to pay off with this stuff Even if I didn't you don't think I'd be fool enough to stick around here do you Why don't you come with us You're pretty good in a fight I could use you,49
LUKE,Come on Why don't you take a look around You know what's about to happen what they're up against They could use a good pilot like you You're turning your back on them,33
HAN,What good's a reward if you ain't around to use it Besides attacking that battle station ain't my idea of courage It's more like suicide,25
LUKE,All right Well take care of yourself Han I guess that's what you're best at isn't it,17
HAN,Hey Luke may the Force be with you,8
HAN,What're you lookin' at I know what I'm doing,9
LEIA,What's wrong,2
LUKE,Oh it's Han I don't know I really thought he'd change his mind,13
LEIA,He's got to follow his own path No one can choose it for him,14
LUKE,I only wish Ben were here,6
BIGGS,Luke I don't believe it How'd you get here are you going out with us,15
LUKE,Biggs Of course I'll be up there with you Listen have I got some stories to tell,17
RED LEADER,Are you Luke Skywalker Have you been checked out on the Incom T-sixty-five,13
BIGGS,Sir Luke is the best bushpilot in the outer rim territories,11
RED LEADER,I met your father once when I was just a boy he was a great pilot You'll do all right If you've got half of your father's skill you'll do better than all right,34
LUKE,Thank you sir I'll try,5
BIGGS,I've got to get aboard Listen you'll tell me your stories when we come back All right,17
LUKE,I told you I'd make it someday Biggs,8
BIGGS,You did all right It's going to be like old times Luke We're a couple of shooting stars that'll never be stopped,22
CHIEF,This R2 unit of your seems a bit beat up Do you want a new one,16
LUKE,Not on your life That little droid and I have been through a lot togetherYou okay R2D2,17
CHIEF,Okay easy she goes,4
C3PO,Hang on tightR2D2 you've got to come back,8
C3PO,You wouldn't want my life to get boring would you,10
BEN'S VOICE,Luke the Force will be with you,7
MASSASSI INTERCOM VOICE,Stand-by alert Death Star approaching Estimated time to firing range fifteen minutes,12
RED LEADER,All wings report in,4
RED TEN,Red Ten standing by,4
RED SEVEN,Red Seven standing by,4
BIGGS,Red Three standing by,4
PORKINS,Red Six standing by,4
RED NINE,Red Nine standing by,4
WEDGE,Red Two standing by,4
RED ELEVEN,Red Eleven standing by,4
LUKE,Red Five standing by,4
RED LEADER,Lock S-foils in attack position,5
READ LEADER,We're passing through their magnetic field,6
RED LEADER,Hold tight,2
RED LEADER,Switch your deflectors on,4
RED LEADER,Double front,2
WEDGE,Look at the size of that thing,7
RED LEADER,Cut the chatter Red Two,5
RED LEADER,Accelerate to attack speed This is it boys,8
GOLD LEADER,Red Leader this is Gold Leader,6
RED LEADER,I copy Gold Leader,4
GOLD LEADER,We're starting for the target shaft now,7
RED LEADER,We're in position I'm going to cut across the axis and try and draw their fire,16
WEDGE,Heavy fire boss Twenty-degrees,4
RED LEADER,I see it Stay low,5
LUKE,This is Red Five; I'm going in,7
BIGGS,Luke pull up,3
BIGGS,Are you all right,4
LUKE,I got a little cooked but I'm okay,8
ASTRO-OFFICER,We count thirty Rebel ships Lord Vader But they're so small they're evading our turbo-lasers,15
VADER,We'll have to destroy them ship to ship Get the crews to their fighters,14
RED LEADER,Luke let me know when you're going in,8
LUKE,I'm on my way in now,6
RED LEADER,Watch yourself There's a lot of fire coming from the right side of that deflection tower,16
LUKE,I'm on it,3
CONTROL OFFICER,Squad leaders we've picked up a new group of signals Enemy fighters coming your way,15
LUKE,My scope's negative I don't see anything,7
RED LEADER,Keep up your visual scanning With all this jamming they'll be on top of you before your scope can pick them up,22
RED LEADER,Biggs You've picked one up watch it,7
BIGGS,I can't see it Where is he,7
BIGGS,He's on me tight I can't shake him I can't shake him,12
LUKE,Hang on Biggs I'm coming in,6
LUKE,Got him,2
VADER,Several fighters have broken off from the main group Come with me,12
BIGGS,Pull in Luke pull in,5
WEDGE,Watch your back Luke,4
WEDGE,Watch your back Fighter's above you coming in,8
LUKE,I'm hit but not bad,5
LUKE'S VOICE,R2D2 see what you can do with it Hang on back there,12
RED LEADER,Red Six,2
RED LEADER,Can you see Red Five,5
RED TEN,There's a heavy fire zone on this side Red Five where are you,13
LUKE,I can't shake him,4
WEDGE,I'm on him Luke,4
WEDGE,Hold on,2
LUKE,Blast it Wedge where are you,6
LUKE,Thanks Wedge,2
BIGGS,Good shooting Wedge,3
GOLD LEADER,Red Leader,2
GOLD LEADER,This is Gold Leader We're starting out attack run,9
RED LEADER,I copy Gold Leader Move into position,7
VADER,Stay in attack formation,4
GOLD LEADER,The exhaust post is,4
GOLD LEADER,marked and locked in,4
GOLD LEADER,Switch power to front deflector screens,6
GOLD LEADER,How many guns do you think Gold Five,8
GOLD FIVE,I'd say about twenty guns Some on the surface some on the towers,13
MASSASSI INTERCOM VOICE,Death Star will be in range in five minutes,9
GOLD LEADER,Switching to targeting computer,4
GOLD TWO,Computer's locked Getting a signal,5
GOLD TWO,The guns they've stopped,4
GOLD FIVE,Stabilize your read deflectors Watch for enemy fighters,8
GOLD LEADER,They've coming in Three marks at two ten,8
VADER,I'll take them myself Cover me,6
WINGMAN'S VOICE,Yes sir,2
GOLD LEADER,I can't maneuver,3
GOLD FIVE,Stay on target,3
GOLD LEADER,We're too close,3
GOLD FIVE,Stay on target,3
GOLD LEADER,Loosen up,2
GOLD FIVE,Gold Five to Red Leader,5
GOLD FIVE,Lost Tiree lost Dutch,4
RED LEADER,I copy Gold Five,4
GOLD FIVE,They came from behind,4
OFFICER,We've analyzed their attack sir and there is a danger Should I have your ship standing by,17
TARKIN,Evacuate In out moment of triumph I think you overestimate their chances,12
VOICE,Rebel base three minutes and closing,6
RED LEADER,Red Group this is Red Leader,6
RED LEADER,Rendezvous at mark six point one,6
WEDGE,This is Red Two Flying toward you,7
BIGGS,Red Three standing by,4
DODONNA,Red Leader this is Base One Keep half your group out of range for the next run,17
RED LEADER'S VOICE,Copy Base One Luke take Red Two and Three Hold up here and wait for my signal to start your run,21
RED LEADER,This is it,3
RED TEN,We should be able to see it by now,9
RED LEADER,Keep your eyes open for those fighters,7
RED TEN,There's too much interference,4
RED TEN'S VOICE,Red Five can you see them from where you are,10
LUKE,No sign of any wait,5
LUKE,Coming in point three five,5
RED TEN,I see them,3
RED LEADER,I'm in range,3
RED LEADER,Target's coming up,3
RED LEADER,Just hold them off for a few seconds,8
VADER,Close up formation,3
RED LEADER,Almost there,2
RED TEN,I can't hold them,4
RED LEADER,It's away,2
RED NINE'S VOICE,It's a hit,3
RED LEADER,Negative,1
RED LEADER,Negative It didn't go in It just impacted on the surface,11
LUKE,Red Leader we're right above you Turn to point,9
LUKE,oh-five; we'll cover for you,5
RED LEADER,Stay there,2
RED LEADER,I just lost my starboard engine,6
RED LEADER,Get set to make your attack run,7
DEATH STAR INTERCOM VOICE,Rebel base one minute and closing,6
LUKE,Biggs Wedge let's close it up We're going in We're going in full throttle,14
WEDGE,Right with you boss,4
BIGGS,Luke at that speed will you be able to pull out in time,13
LUKE,It'll be just like Beggar's Canyon back home,8
BIGGS,We'll stay back far enough to cover you,8
WEDGE,My scope shows the tower but I can't see the exhaust port Are you sure the computer can hit it,20
LUKE,Watch yourself Increase speed full throttle,6
WEDGE,What about the tower,4
LUKE,You worry about those fighters I'll worry about the tower,10
LUKE,R2D2 that that stabilizer's broken loose again See if you can't lock it down,14
WEDGE,I'm hit I can't stay with you,7
LUKE,Get clear Wedge,3
LUKE,You can't do any more good back there,8
WEDGE,Sorry,1
VADER,Let him go Stay on the leader,7
BIGGS,Hurry Luke they're coming in much faster this time I can't hold them,13
LUKE,R2D2 try and increase the power,6
BIGGS,Hurry up Luke,3
BIGGS,Wait,1
DEATH STAR INTERCOM VOICE,Rebel base thirty seconds and closing,6
VADER,I'm on the leader,4
C3PO,Hang on R2D2,3
BEN'S VOICE,Use the Force Luke,4
BEN'S VOICE,Let go Luke,3
VADER,The Force is strong with this one,7
BEN'S VOICE,Luke trust me,3
BASE VOICE,His computer's off Luke you switched off your targeting computer What's wrong,12
LUKE,Nothing I'm all right,4
LUKE,I've lost R2D2,3
MASSASSI INTERCOM VOICE,The Death Star has cleared the planet The Death Star has cleared the planet,14
DEATH STAR INTERCOM VOICE,Rebel base in range,4
TARKIN,You may fire when ready,5
DEATH STAR INTERCOM VOICE,Commence primary ignition,3
VADER,I have you now,4
VADER,What,1
HAN,Yahoo,1
WINGMAN,Look out,2
HAN,You're all clear kid,4
HAN,Now let's blow this thing and go home,8
INTERCOM VOICE,Stand by to fire at Rebel base,7
INTERCOM VOICE,Standing by,2
HAN,Great shot kid That was one in a million,9
BEN'S VOICE,Remember the Force will be with you always,8
LEIA,Luke Luke Luke,3
HAN,Hey Hey,2
LUKE,I knew you'd come back I just knew it,9
HAN,Well I wasn't gonna let you get all the credit and take all the reward,15
LEIA,Hey I knew there was more to you than money,10
LUKE,Oh no,2
C3PO,Oh my R2D2 Can you hear me Say somethingYou can repair him can't you,14
TECHNICIAN,We'll get to work on him right away,8
C3PO,You must repair him Sir if any of my circuits or gears will help I'll gladly donate them,18
LUKE,He'll be all right,4
